CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,0.0061,0.0075,0.0089,0.0104,0.0119,0.0135,0.015,0.0166,0.0175,0.0184,0.0194,0.0204,0.0214,0.0226,0.0238,0.0251,0.0263,0.0276,0.0292,0.0306,0.0318,0.033,0.0345,0.0361,0.0377,0.0395
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0.0051,0.0056,0.0062,0.0068,0.0075,0.0083,0.0091,0.0101,0.011,0.0121,0.0133,0.0146,0.016,0.0175,0.0191,0.0208,0.0226,0.0248,0.0271,0.0293,0.0314,0.0332,0.0346,0.0356,0.0362,0.0365
Angola,0.5,0.3,1.3,0.8,0.5,1.8,1.3,0.9,2.2,1.7,1.2,2.5,2,1.5,2.8,2.1,1.5,3,2.2,1.5,2.13,2.15,2.16,2.17,2.17,2.17
Argentina,0.1574,0.1814,0.2027,0.2213,0.2375,0.2521,0.2686,0.2841,0.2974,0.3102,0.3222,0.3332,0.3431,0.3521,0.3602,0.3674,0.3736,0.3789,0.3833,0.3874,0.3904,0.3913,0.3916,0.3919,0.392,0.3921
Armenia,0.0002,0.0005,0.001,0.0016,0.0025,0.0041,0.0073,0.0134,0.024,0.0398,0.0597,0.0803,0.0996,0.1184,0.1319,0.1425,0.15,0.155,0.1584,0.1602,0.1625,0.1651,0.1683,0.1739,0.1839,0.1998
Australia,0.1411,0.1402,0.1387,0.1368,0.1348,0.1328,0.132,0.1326,0.133,0.1343,0.1356,0.1367,0.1375,0.1381,0.1408,0.1434,0.144,0.1436,0.1432,0.1448,0.1475,0.1501,0.1526,0.1552,0.1586,0.1617
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0.0016,0.002,0.0026,0.0032,0.0044,0.0062,0.0087,0.0123,0.0172,0.0232,0.0298,0.0367,0.0433,0.0496,0.0559,0.063,0.0714,0.0807,0.0903,0.1003,0.1106,0.1212,0.1321,0.1437,0.1558,0.1683
Bahamas,1.55,1.8,2.04,2.27,2.48,2.65,2.79,2.89,2.97,3.02,3.05,3.07,3.07,3.06,3.09,3.11,3.13,3.14,3.16,3.17,3.19,3.21,3.22,3.21,3.2,3.22
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.5,1.6
Belarus,0.0004,0.001,0.002,0.0038,0.007,0.0125,0.0211,0.0337,0.0509,0.0723,0.0983,0.1264,0.1567,0.1873,0.2172,0.2441,0.2692,0.292,0.3124,0.3357,0.3613,0.3945,0.4367,0.4905,0.5575,0.6374
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0.0423,0.0601,0.0851,0.1201,0.1691,0.237,0.3308,0.459,0.6309,0.8535,1.13,1.42,1.69,1.87,1.95,1.95,1.91,1.86,1.8,1.74,1.69,1.65,1.61,1.58,1.55,1.52
Benin,0.2,0.3,0.4,0.6,0.8,0.9,1.1,1.2,1.3,1.4,1.5,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0.1656,0.1981,0.2292,0.2581,0.2824,0.3018,0.3149,0.3224,0.3234,0.3193,0.3126,0.304,0.2939,0.2858,0.279,0.2751,0.2743,0.2749,0.2773,0.2815,0.2855,0.2882,0.2893,0.2908,0.2918,0.2928
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,5.97,8.37,11.17,14.19,17.19,19.94,22.22,23.96,25.11,25.76,26.04,25.99,25.7,25.28,24.87,24.57,24.34,24.13,23.88,23.64,23.45,23.25,23.06,22.82,22.53,22.21
Brazil,0.3564,0.37,0.3776,0.3824,0.3855,0.3877,0.3915,0.3974,0.4058,0.4174,0.4291,0.4407,0.4523,0.4638,0.4755,0.4875,0.4993,0.5106,0.5213,0.5314,0.5408,0.5497,0.5579,0.5653,0.5724,0.5791
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,3.38,3.59,3.71,3.75,3.7,3.57,3.39,3.16,2.92,2.66,2.4,2.15,1.93,1.72,1.55,1.4,1.29,1.2,1.12,1.06,1.01,0.9652,0.9303,0.8952,0.8608,0.8284
Burundi,0.87,1.13,1.44,1.79,2.12,2.45,2.72,2.94,3.1,3.17,3.16,3.06,2.92,2.73,2.53,2.33,2.15,1.96,1.79,1.64,1.51,1.39,1.29,1.2,1.11,1.04
Cambodia,0.1,0.1,0.3,0.6,1,1.4,1.7,1.8,1.9,1.8,1.8,1.6,1.5,1.4,1.2,1.1,1.1,1,0.9,0.9,0.8,0.8,0.7,0.7,0.7,0.6
Cameroon,2.01,2.48,2.97,3.45,3.92,4.34,4.69,4.98,5.19,5.33,5.41,5.43,5.41,5.34,5.25,5.17,5.1,5.01,4.94,4.88,4.82,4.75,4.69,4.63,4.55,4.46
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,0.7635,0.8739,0.9833,1.09,1.2,1.3,1.39,1.47,1.52,1.55,1.56,1.55,1.51,1.46,1.4,1.34,1.28,1.23,1.18,1.13,1.08,1.04,1.01,0.9818,0.9666,0.9619
Central African Rep.,3.99,4.77,5.58,6.39,7.15,7.81,8.33,8.66,8.83,8.82,8.65,8.35,7.96,7.51,7.02,6.53,6.07,5.66,5.32,5.04,4.78,4.53,4.29,4.06,3.86,3.7
Chad,1.15,1.33,1.51,1.71,1.91,2.14,2.36,2.58,2.79,2.98,3.15,3.27,3.36,3.39,3.38,3.31,3.2,3.08,2.95,2.83,2.7,2.57,2.42,2.28,2.15,2.04
Chile,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,0.0809,0.0877,0.0947,0.102,0.1096,0.1174,0.1254,0.1337,0.1421,0.1506,0.1597,0.172,0.1849,0.1979,0.2108,0.2236,0.2361,0.2484,0.2603,0.2717,0.2824,0.2927,0.3023,0.3108,0.319,0.3268
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0.0085,0.0099,0.0114,0.0133,0.0153,0.0177,0.0204,0.0235,0.027,0.031,0.0355,0.0409,0.0476,0.0554,0.0643,0.0745,0.0862,0.0994,0.1146,0.1318,0.1521,0.1761,0.2035,0.2346,0.2698,0.3099
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,3,2.5,5.5,4.7,3.8,7.2,5.7,4.6,7,5.3,4.3,5.8,4.4,3.6,4.7,3.8,3.1,4.1,3.3,2.7,2.6,2,2,1.9,2.1,2
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
