CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,25,46,32,22,40
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,2,6,2,1,0,0,0,0,0,0,0,0,1,0
Angola,0,0,0,0,0,0,0,0,0,25572,9510,9473,14434,38598,12459,13768,10220,9812,9465,10530,8114,6909
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,50,132,402,382,1278,1393,794,469,528,552,484,470,598,574,505,501,508,228,154,47,37,36
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Benin,0,0,0,0,0,0,0,0,682,544,0,468,707,560,944,322,1226,1290,918,1375,964,1753
Bhutan,2,36,49,62,48,39,25,14,17,16,15,14,11,14,7,5,7,2,2,4,2,1
Bolivia,7,2,0,0,29,0,14,21,27,15,11,0,5,2,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,0,0,0,0,0,0,0,141,23,49,0,29,23,18,19,11,40,6,12,6,8,8
Brazil,0,0,0,0,413,0,0,90,156,193,231,142,93,103,100,122,105,94,67,85,76,70
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,0,0,0,0,0,0,0,0,2624,2808,0,4233,4032,4860,4205,5224,8083,6472,7834,7982,9024,7001
Burundi,0,0,0,0,0,0,0,0,0,0,691,417,483,425,689,776,434,167,595,1183,2677,2233
Cambodia,1020,1163,1408,1100,1009,614,745,811,621,891,608,476,457,492,382,296,396,241,209,279,151,94
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,930,1811,7673,4943,4536,3808
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,2,8,2,2,2,1,4
Central African Rep.,0,0,0,0,0,0,0,0,374,484,439,535,0,417,859,668,865,578,456,667,526,858
Chad,0,0,0,0,0,0,0,0,0,0,712,957,98,1021,13,558,837,617,1018,221,886,1220
Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,35,0,52,19,43,34,30,46,24,52,31,27,42,52,31,48,37,18,23,10,19,33
Colombia,176,181,138,100,75,62,16,16,33,12,41,58,40,24,25,28,53,19,22,12,23,18
Comoros,0,0,0,0,0,0,0,0,0,50,0,0,0,0,28,92,56,20,47,0,53,19
"Congo, Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,143,116,0,892
Costa Rica,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Rep.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,0,0,0,0,0,0,0,0,1337,974,0,0,0,0,0,0,0,797,1249,18156,1023,1389
"Korea, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Congo, Dem. Rep.",0,0,0,0,0,0,0,0,0,0,3856,416,2152,989,13613,15322,12970,14372,17940,21168,23476,23748
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0
Dominican Rep.,2,0,7,0,11,14,5,5,14,13,6,17,11,12,16,16,10,17,11,14,15,10
Ecuador,0,0,0,0,67,0,0,18,16,16,0,0,0,0,0,0,0,0,1,0,0,1
Egypt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23,30,52
Eritrea,0,0,0,0,0,0,0,0,404,169,0,133,86,79,24,49,47,42,19,23,27,12
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,1681,1607,2138,3327,1086,1357,991,1169,1121,1581,936
Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,8,2,2,0,0,0,0,0,2,5,0,0,0,4,0,0,5,5,2,1,0,2
Gabon,0,0,0,0,0,0,0,0,0,0,2016,1693,1141,692,466,353,238,216,156,197,182,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,275,259,192,153,426,150,424,403,240,151,440
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,0,0,0,0,0,0,0,0,2798,2826,6108,1717,2376,2103,1575,2037,3125,4622,3889,3378,3859,3259
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,180,127,0,0,0,0,0,0,9,0,0,0,0,0,2,4,2,3,0,0,0,0
Guinea,0,0,0,0,0,0,0,0,13,13,626,517,440,586,528,490,0,472,441,586,735,743
Guinea0Bissau,0,0,0,0,0,0,0,0,0,0,0,635,780,1137,565,565,507,370,487,369,296,472
Guyana,0,4,14,0,150,0,0,32,34,0,0,0,0,0,8,22,20,10,10,11,18,3
Haiti,0,101,0,0,0,0,61,0,25,0,0,16,16,16,16,29,32,28,17,6,0,3
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,2,2
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,353,421,422,354,1122,1151,2803,879,666,1048,892,1015,973,1006,949,963,1708,1311,1055,1144,1018,753
Indonesia,0,0,0,0,0,0,148,199,45,0,833,0,0,0,508,88,494,0,669,900,432,388
Iran,0,0,0,0,0,0,0,22,0,3,4,2,2,5,1,1,1,3,3,0,0,0
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,0,0,0,0,0,0,0,0,665,1545,48767,48286,47697,51842,25403,44328,40079,0,0,0,26017,713
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laos,372,457,438,418,609,620,608,606,427,338,350,242,195,187,105,77,21,14,11,5,24,17
